,State,Cases,Deaths,state_code,pop_stay_at_home,pop_not_stay_at_home,trips,TempMedian,TempMean,PrcpMedian,PrcpMean,state,population,pop_density
15,KS,271578,3613,KS,635525.9441930618,2271077.1553544495,10982186.784313725,222.0,206.2068370449503,0,20.105616731037887,KS,2911505,35.610732968
16,KY,350519,3460,KY,938543.527903469,3522338.260935143,17303835.076923076,211.0,194.47717807762783,0,38.10742961852407,KY,4468402,113.15179107
17,LA,336605,7401,LA,895363.8778280542,3756770.7511312217,18103579.977375567,272.0,263.4371541501976,0,45.45090909090909,LA,4659978,107.86011234
18,MA,478393,14168,MA,1655253.4117647058,5235281.651583711,30108091.802413274,178.0,164.43269665786508,0,20.906555125073005,MA,6902149,884.74992172
19,MD,271745,5507,MD,1262166.5007541478,4770384.349924585,22402598.22775264,206.0,202.87253366739742,0,33.58502975258378,MD,6042718,622.26172745
20,ME,37708,547,ME,305127.18702865764,1031025.1538461539,4607481.363499246,129.0,132.2595785440613,0,26.896312260536398,ME,1338404,43.391688419
21,MI,563987,14767,MI,2152139.3408748116,7826955.930618402,36469404.14027149,139.0,143.85587916214638,0,24.09079529333222,MI,9995915,176.59707779
22,MN,442023,5847,MN,1192423.87933635,4409314.6681749625,20031273.776772246,133.0,126.71713352809759,0,17.002749613335627,MN,5611179,70.469674696
23,MO,289539,3982,MO,1349716.4102564103,4766425.853695325,21906761.36199095,211.0,198.9657914668013,0,31.218631658672052,MO,6126452,89.117470789
24,MS,248670,5586,MS,513491.963800905,2468013.9185520364,9712333.621417798,267.0,255.1282456536464,0,45.766312937457656,MS,2986530,63.645625458999994
25,MT,92160,1151,MT,255191.1749622926,805326.2609351433,3826362.8280542986,95.0,104.763604790725,0,21.862994458489748,MT,1062305,7.298751095
26,NC,727423,8720,NC,1974568.2488687783,8391578.546003016,39711329.50980392,228.0,219.6688906306754,0,48.28859278518037,NC,10383620,213.56949153
27,ND,96507,1394,ND,163832.6742081448,594966.0,2631058.375565611,152.5,134.95947070572572,0,9.65079893475366,ND,760077,11.015709613
28,NE,186749,1891,NE,403478.19909502263,1522544.9894419305,7129539.764705882,200.0,188.0358915616648,0,11.698230876925034,NE,1929268,25.114922059
29,NH,62078,989,NH,279233.604826546,1074941.3559577677,5101551.055806939,146.0,145.58795884669124,0,28.72024641178712,NH,1356458,151.50059716
30,NJ,670454,20972,NJ,2059926.6138763197,6833604.162895927,35460108.897435896,194.0,189.2242940385477,0,34.36360376512774,NJ,8908520,1211.3172349000001
31,NM,166704,3157,NM,446668.1447963801,1645233.7239819004,9072092.460030166,221.0,212.62987564518588,0,7.492192434174706,NM,2095428,17.273065483
32,NV,272853,4029,NV,715509.7556561086,2313776.098039216,10669145.92458522,161.0,164.81851075341538,0,7.6019883673745445,NV,3034392,27.640602500000004
33,NY,1354512,42155,NY,5357119.909502262,14152204.407239819,83426619.04223228,156.0,155.20594723995498,0,26.61678558017274,NY,19542209,414.70249405
34,OH,872918,10768,OH,2518891.769230769,9150880.419306183,42756811.13122172,183.0,177.78039814324433,0,29.71488208355401,OH,11689442,286.07988455
35,OK,376334,3293,OK,812451.346907994,3123991.0392156863,13570312.485671192,261.0,243.77315051382504,0,25.179100664282064,OK,3943079,57.482602245
